rank tag source dest timestamp
1 1000 1 0 1292874.486
1 1001 1 0 1292874.491
1 1002 1 0 1292874.537
1 1003 1 0 1292874.539
1 1004 1 0 1292874.542
1 1005 1 0 1292874.544
1 1006 1 0 1292874.546
1 1007 1 0 1292874.548
1 1008 1 0 1292874.601
1 1009 1 0 1292874.607
1 1010 1 0 1292874.657
1 1011 1 0 1292874.66
1 1012 1 0 1292874.663
1 1013 1 0 1292874.666
1 1014 1 0 1292874.669
1 1015 1 0 1292874.671
1 1016 1 0 1292874.721
1 1017 1 0 1292874.726
1 1018 1 0 1292874.774
1 1019 1 0 1292874.778
1 1020 1 0 1292874.781
1 1021 1 0 1292874.783
1 1022 1 0 1292874.786
1 1023 1 0 1292874.788
1 1024 1 0 1292874.792
1 1025 1 0 1292874.795
1 1026 1 0 1292874.832
1 1027 1 0 1292874.836
1 1028 1 0 1292874.838
1 1029 1 0 1292874.84
1 1030 1 0 1292874.842
1 1031 1 0 1292874.844
1 1040 1 0 1292875.131
1 1049 1 0 1292876.281
1 1050 1 0 1292876.282
1 1051 1 0 1292876.284
1 1056 1 0 1292876.299
1 1060 1 0 1292876.303
1 1064 1 0 1292876.306
1 1065 1 0 1292876.307
1 1066 1 0 1292876.308
1 1067 1 0 1292876.309
1 1072 1 0 1292876.32
1 1076 1 0 1292876.325
1 1080 1 0 1292876.328
1 1081 1 0 1292876.329
1 1082 1 0 1292876.33
1 1083 1 0 1292876.33
1 1100 1 0 1292876.402
1 1101 1 0 1292876.403
1 1102 1 0 1292876.404
1 1103 1 0 1292876.405
1 1104 1 0 1292876.414
1 1105 1 0 1292876.45
1 1106 1 0 1292876.716
1 1107 1 0 1292876.723
1 1108 1 0 1292876.733
1 1115 1 0 1292877.382
1 1122 1 0 1292877.531
1 1123 1 0 1292877.531
1 1124 1 0 1292877.532
1 1129 1 0 1292877.618
1 1133 1 0 1292877.622
1 1137 1 0 1292877.626
1 1138 1 0 1292877.627
1 1139 1 0 1292877.628
1 1140 1 0 1292877.628
1 1141 1 0 1292877.631
1 1142 1 0 1292877.638
1 1143 1 0 1292877.651
1 1144 1 0 1292877.652
1 1147 1 0 1292877.655
1 1148 1 0 1292877.655
1 1149 1 0 1292877.656
1 1150 1 0 1292877.674
1 1151 1 0 1292877.943
1 1152 1 0 1292877.949
1 1153 1 0 1292877.959
1 1160 1 0 1292878.594
1 1161 1 0 1292878.594
1 1164 1 0 1292878.596
1 1165 1 0 1292878.596
1 1166 1 0 1292878.597
1 1167 1 0 1292878.614
1 1177 1 0 1292878.776
1 1181 1 0 1292878.78
1 1185 1 0 1292878.783
1 1186 1 0 1292878.783
1 1187 1 0 1292878.784
1 1188 1 0 1292878.784
1 1193 1 0 1292878.863
1 1197 1 0 1292878.868
1 1201 1 0 1292878.872
1 1202 1 0 1292878.873
1 1203 1 0 1292878.875
1 1204 1 0 1292878.875
1 1205 1 0 1292878.877
1 1206 1 0 1292878.884
1 1207 1 0 1292878.896
1 1208 1 0 1292878.899
1 1211 1 0 1292878.901
1 1212 1 0 1292878.902
1 1213 1 0 1292878.902
1 1214 1 0 1292878.921
1 1215 1 0 1292879.208
1 1216 1 0 1292879.215
1 1217 1 0 1292879.22
1 1218 1 0 1292879.811
1 1219 1 0 1292879.812
1 1222 1 0 1292879.814
1 1223 1 0 1292879.815
1 1224 1 0 1292879.815
1 1225 1 0 1292879.833
1 1229 1 0 1292879.983
1 1233 1 0 1292879.987
1 1237 1 0 1292879.99
1 1238 1 0 1292879.991
1 1239 1 0 1292879.992
1 1240 1 0 1292879.992
1 1245 1 0 1292880.078
1 1249 1 0 1292880.082
1 1253 1 0 1292880.085
1 1254 1 0 1292880.086
1 1255 1 0 1292880.086
1 1256 1 0 1292880.087
1 1257 1 0 1292880.089
1 1258 1 0 1292880.095
1 1259 1 0 1292880.109
1 1260 1 0 1292880.109
1 1263 1 0 1292880.112
1 1264 1 0 1292880.112
1 1265 1 0 1292880.113
1 1266 1 0 1292880.131
1 1267 1 0 1292880.417
1 1268 1 0 1292880.424
1 1269 1 0 1292880.43
1 1270 1 0 1292881.019
1 1271 1 0 1292881.02
1 1274 1 0 1292881.022
1 1275 1 0 1292881.022
1 1276 1 0 1292881.023
1 1277 1 0 1292881.04
1 1281 1 0 1292881.191
1 1285 1 0 1292881.195
1 1289 1 0 1292881.199
1 1290 1 0 1292881.201
1 1291 1 0 1292881.201
1 1292 1 0 1292881.201
1 1300 1 0 1292881.323
1 1308 1 0 1292881.534
1 1312 1 0 1292881.539
1 1316 1 0 1292881.543
1 1317 1 0 1292881.544
1 1318 1 0 1292881.544
1 1319 1 0 1292881.544
1 1324 1 0 1292881.566
1 1328 1 0 1292881.576
1 1332 1 0 1292881.578
1 1333 1 0 1292881.58
1 1334 1 0 1292881.58
1 1335 1 0 1292881.58
1 1341 1 0 1292881.621
1 1342 1 0 1292881.624
1 1343 1 0 1292881.658
1 1344 1 0 1292881.662
1 1345 1 0 1292881.665
1 1346 1 0 1292881.668
1 1347 1 0 1292881.671
1 1348 1 0 1292881.673
1 1350 1 0 1292881.701
1 1351 1 0 1292881.702
1 1354 1 0 1292881.704
1 1355 1 0 1292881.705
1 1356 1 0 1292881.705
1 1357 1 0 1292881.729
1 1365 1 0 1292882.567
1 1369 1 0 1292882.572
1 1373 1 0 1292882.575
1 1374 1 0 1292882.576
1 1375 1 0 1292882.577
1 1376 1 0 1292882.578
1 1377 1 0 1292882.581
1 1378 1 0 1292882.589
1 1379 1 0 1292882.603
1 1380 1 0 1292882.604
1 1383 1 0 1292882.606
1 1384 1 0 1292882.606
1 1385 1 0 1292882.607
1 1386 1 0 1292882.624
1 1387 1 0 1292882.888
1 1388 1 0 1292882.894
1 1389 1 0 1292882.903
1 1396 1 0 1292883.522
1 1397 1 0 1292883.523
1 1400 1 0 1292883.524
1 1401 1 0 1292883.525
1 1402 1 0 1292883.525
1 1403 1 0 1292883.542
1 1413 1 0 1292883.696
1 1417 1 0 1292883.701
1 1421 1 0 1292883.703
1 1422 1 0 1292883.706
1 1423 1 0 1292883.706
1 1424 1 0 1292883.707
1 1429 1 0 1292883.784
1 1433 1 0 1292883.789
1 1437 1 0 1292883.795
1 1438 1 0 1292883.796
1 1439 1 0 1292883.797
1 1440 1 0 1292883.797
1 1441 1 0 1292883.799
1 1442 1 0 1292883.806
1 1443 1 0 1292883.817
1 1444 1 0 1292883.819
1 1447 1 0 1292883.822
1 1448 1 0 1292883.823
1 1449 1 0 1292883.823
1 1450 1 0 1292883.842
1 1451 1 0 1292884.129
1 1452 1 0 1292884.136
1 1453 1 0 1292884.142
1 1454 1 0 1292884.723
1 1455 1 0 1292884.724
1 1458 1 0 1292884.726
1 1459 1 0 1292884.726
1 1460 1 0 1292884.727
1 1461 1 0 1292884.744
1 1465 1 0 1292884.896
1 1469 1 0 1292884.901
1 1473 1 0 1292884.904
1 1474 1 0 1292884.906
1 1475 1 0 1292884.907
1 1476 1 0 1292884.907
1 1481 1 0 1292884.99
1 1485 1 0 1292884.994
1 1489 1 0 1292884.997
1 1490 1 0 1292885
1 1491 1 0 1292885
1 1492 1 0 1292885.001
1 1493 1 0 1292885.003
1 1494 1 0 1292885.01
1 1495 1 0 1292885.023
1 1496 1 0 1292885.024
1 1499 1 0 1292885.028
1 1500 1 0 1292885.028
1 1501 1 0 1292885.029
1 1502 1 0 1292885.047
1 1503 1 0 1292885.332
1 1504 1 0 1292885.339
1 1505 1 0 1292885.346
1 1506 1 0 1292885.927
1 1507 1 0 1292885.927
1 1510 1 0 1292885.928
1 1511 1 0 1292885.929
1 1512 1 0 1292885.929
1 1513 1 0 1292885.947
1 1517 1 0 1292886.095
1 1521 1 0 1292886.1
1 1525 1 0 1292886.103
1 1526 1 0 1292886.104
1 1527 1 0 1292886.104
1 1528 1 0 1292886.105
1 1536 1 0 1292886.222
1 1544 1 0 1292886.432
1 1548 1 0 1292886.437
1 1552 1 0 1292886.44
1 1553 1 0 1292886.441
1 1554 1 0 1292886.441
1 1555 1 0 1292886.442
1 1560 1 0 1292886.463
1 1564 1 0 1292886.467
1 1568 1 0 1292886.47
1 1569 1 0 1292886.471
1 1570 1 0 1292886.472
1 1571 1 0 1292886.472
1 1583 1 0 1292886.58
1 1592 1 0 1292887.017
1 1593 1 0 1292887.018
1 1594 1 0 1292887.02
1 1599 1 0 1292887.044
1 1603 1 0 1292887.048
1 1607 1 0 1292887.052
1 1608 1 0 1292887.053
1 1609 1 0 1292887.054
1 1610 1 0 1292887.054
1 1615 1 0 1292887.075
1 1619 1 0 1292887.08
1 1623 1 0 1292887.083
1 1624 1 0 1292887.084
1 1625 1 0 1292887.084
1 1626 1 0 1292887.085
2 1000 2 0 1292874.486
2 1001 2 0 1292874.49
2 1002 2 0 1292874.536
2 1003 2 0 1292874.539
2 1004 2 0 1292874.541
2 1005 2 0 1292874.543
2 1006 2 0 1292874.546
2 1007 2 0 1292874.548
2 1008 2 0 1292874.601
2 1009 2 0 1292874.606
2 1010 2 0 1292874.657
2 1011 2 0 1292874.66
2 1012 2 0 1292874.663
2 1013 2 0 1292874.666
2 1014 2 0 1292874.668
2 1015 2 0 1292874.671
2 1016 2 0 1292874.721
2 1017 2 0 1292874.726
2 1018 2 0 1292874.774
2 1019 2 0 1292874.778
2 1020 2 0 1292874.781
2 1021 2 0 1292874.783
2 1022 2 0 1292874.786
2 1023 2 0 1292874.788
2 1024 2 0 1292874.792
2 1025 2 0 1292874.795
2 1026 2 0 1292874.832
2 1027 2 0 1292874.835
2 1028 2 0 1292874.838
2 1029 2 0 1292874.839
2 1030 2 0 1292874.842
2 1031 2 0 1292874.844
2 1040 2 0 1292875.131
2 1049 2 0 1292876.281
2 1050 2 0 1292876.282
2 1051 2 0 1292876.285
2 1055 2 0 1292876.296
2 1056 2 0 1292876.298
2 1059 2 0 1292876.302
2 1060 2 0 1292876.303
2 1063 2 0 1292876.305
2 1064 2 0 1292876.306
2 1065 2 0 1292876.307
2 1066 2 0 1292876.308
2 1067 2 0 1292876.309
2 1071 2 0 1292876.319
2 1072 2 0 1292876.321
2 1075 2 0 1292876.323
2 1076 2 0 1292876.325
2 1079 2 0 1292876.327
2 1080 2 0 1292876.328
2 1081 2 0 1292876.329
2 1082 2 0 1292876.33
2 1083 2 0 1292876.33
2 1100 2 0 1292876.402
2 1101 2 0 1292876.403
2 1102 2 0 1292876.404
2 1103 2 0 1292876.406
2 1104 2 0 1292876.414
2 1105 2 0 1292876.45
2 1106 2 0 1292876.717
2 1107 2 0 1292876.724
2 1108 2 0 1292876.732
2 1115 2 0 1292877.383
2 1122 2 0 1292877.531
2 1123 2 0 1292877.531
2 1124 2 0 1292877.532
2 1128 2 0 1292877.613
2 1129 2 0 1292877.616
2 1132 2 0 1292877.62
2 1133 2 0 1292877.621
2 1136 2 0 1292877.625
2 1137 2 0 1292877.627
2 1138 2 0 1292877.627
2 1139 2 0 1292877.628
2 1140 2 0 1292877.628
2 1141 2 0 1292877.631
2 1142 2 0 1292877.637
2 1143 2 0 1292877.65
2 1145 2 0 1292877.654
2 1147 2 0 1292877.655
2 1148 2 0 1292877.655
2 1149 2 0 1292877.656
2 1150 2 0 1292877.675
2 1151 2 0 1292877.943
2 1152 2 0 1292877.949
2 1153 2 0 1292877.959
2 1160 2 0 1292878.594
2 1162 2 0 1292878.595
2 1164 2 0 1292878.596
2 1165 2 0 1292878.596
2 1166 2 0 1292878.597
2 1167 2 0 1292878.615
2 1176 2 0 1292878.772
2 1177 2 0 1292878.774
2 1180 2 0 1292878.778
2 1181 2 0 1292878.779
2 1184 2 0 1292878.782
2 1185 2 0 1292878.783
2 1186 2 0 1292878.783
2 1187 2 0 1292878.784
2 1188 2 0 1292878.784
2 1192 2 0 1292878.861
2 1193 2 0 1292878.863
2 1196 2 0 1292878.867
2 1197 2 0 1292878.868
2 1200 2 0 1292878.871
2 1201 2 0 1292878.873
2 1202 2 0 1292878.874
2 1203 2 0 1292878.875
2 1204 2 0 1292878.875
2 1205 2 0 1292878.877
2 1206 2 0 1292878.884
2 1207 2 0 1292878.895
2 1209 2 0 1292878.9
2 1211 2 0 1292878.901
2 1212 2 0 1292878.902
2 1213 2 0 1292878.902
2 1214 2 0 1292878.921
2 1215 2 0 1292879.208
2 1216 2 0 1292879.213
2 1217 2 0 1292879.22
2 1218 2 0 1292879.811
2 1220 2 0 1292879.814
2 1222 2 0 1292879.815
2 1223 2 0 1292879.815
2 1224 2 0 1292879.815
2 1225 2 0 1292879.833
2 1228 2 0 1292879.981
2 1229 2 0 1292879.983
2 1232 2 0 1292879.986
2 1233 2 0 1292879.987
2 1236 2 0 1292879.989
2 1237 2 0 1292879.99
2 1238 2 0 1292879.991
2 1239 2 0 1292879.992
2 1240 2 0 1292879.992
2 1244 2 0 1292880.076
2 1245 2 0 1292880.078
2 1248 2 0 1292880.081
2 1249 2 0 1292880.082
2 1252 2 0 1292880.084
2 1253 2 0 1292880.085
2 1254 2 0 1292880.086
2 1255 2 0 1292880.086
2 1256 2 0 1292880.087
2 1257 2 0 1292880.089
2 1258 2 0 1292880.095
2 1259 2 0 1292880.108
2 1261 2 0 1292880.111
2 1263 2 0 1292880.112
2 1264 2 0 1292880.112
2 1265 2 0 1292880.113
2 1266 2 0 1292880.131
2 1267 2 0 1292880.418
2 1268 2 0 1292880.423
2 1269 2 0 1292880.429
2 1270 2 0 1292881.019
2 1272 2 0 1292881.02
2 1274 2 0 1292881.022
2 1275 2 0 1292881.022
2 1276 2 0 1292881.023
2 1277 2 0 1292881.041
2 1280 2 0 1292881.19
2 1281 2 0 1292881.191
2 1284 2 0 1292881.194
2 1285 2 0 1292881.195
2 1288 2 0 1292881.197
2 1289 2 0 1292881.199
2 1290 2 0 1292881.2
2 1291 2 0 1292881.201
2 1292 2 0 1292881.201
2 1300 2 0 1292881.323
2 1307 2 0 1292881.532
2 1308 2 0 1292881.534
2 1311 2 0 1292881.537
2 1312 2 0 1292881.538
2 1315 2 0 1292881.541
2 1316 2 0 1292881.542
2 1317 2 0 1292881.543
2 1318 2 0 1292881.544
2 1319 2 0 1292881.544
2 1323 2 0 1292881.565
2 1324 2 0 1292881.567
2 1327 2 0 1292881.574
2 1328 2 0 1292881.575
2 1331 2 0 1292881.578
2 1332 2 0 1292881.579
2 1333 2 0 1292881.579
2 1334 2 0 1292881.58
2 1335 2 0 1292881.58
2 1341 2 0 1292881.62
2 1342 2 0 1292881.624
2 1343 2 0 1292881.658
2 1344 2 0 1292881.662
2 1345 2 0 1292881.665
2 1346 2 0 1292881.668
2 1347 2 0 1292881.671
2 1348 2 0 1292881.673
2 1350 2 0 1292881.702
2 1352 2 0 1292881.703
2 1354 2 0 1292881.704
2 1355 2 0 1292881.705
2 1356 2 0 1292881.705
2 1357 2 0 1292881.729
2 1364 2 0 1292882.565
2 1365 2 0 1292882.568
2 1368 2 0 1292882.57
2 1369 2 0 1292882.572
2 1372 2 0 1292882.574
2 1373 2 0 1292882.575
2 1374 2 0 1292882.576
2 1375 2 0 1292882.577
2 1376 2 0 1292882.579
2 1377 2 0 1292882.581
2 1378 2 0 1292882.589
2 1379 2 0 1292882.601
2 1381 2 0 1292882.605
2 1383 2 0 1292882.606
2 1384 2 0 1292882.606
2 1385 2 0 1292882.607
2 1386 2 0 1292882.624
2 1387 2 0 1292882.889
2 1388 2 0 1292882.894
2 1389 2 0 1292882.902
2 1396 2 0 1292883.523
2 1398 2 0 1292883.524
2 1400 2 0 1292883.524
2 1401 2 0 1292883.525
2 1402 2 0 1292883.525
2 1403 2 0 1292883.543
2 1412 2 0 1292883.694
2 1413 2 0 1292883.696
2 1416 2 0 1292883.7
2 1417 2 0 1292883.701
2 1420 2 0 1292883.703
2 1421 2 0 1292883.704
2 1422 2 0 1292883.706
2 1423 2 0 1292883.706
2 1424 2 0 1292883.707
2 1428 2 0 1292883.784
2 1429 2 0 1292883.785
2 1432 2 0 1292883.788
2 1433 2 0 1292883.79
2 1436 2 0 1292883.792
2 1437 2 0 1292883.794
2 1438 2 0 1292883.796
2 1439 2 0 1292883.796
2 1440 2 0 1292883.797
2 1441 2 0 1292883.799
2 1442 2 0 1292883.806
2 1443 2 0 1292883.816
2 1445 2 0 1292883.821
2 1447 2 0 1292883.822
2 1448 2 0 1292883.823
2 1449 2 0 1292883.823
2 1450 2 0 1292883.842
2 1451 2 0 1292884.129
2 1452 2 0 1292884.134
2 1453 2 0 1292884.142
2 1454 2 0 1292884.724
2 1456 2 0 1292884.725
2 1458 2 0 1292884.726
2 1459 2 0 1292884.726
2 1460 2 0 1292884.727
2 1461 2 0 1292884.745
2 1464 2 0 1292884.893
2 1465 2 0 1292884.895
2 1468 2 0 1292884.899
2 1469 2 0 1292884.9
2 1472 2 0 1292884.903
2 1473 2 0 1292884.904
2 1474 2 0 1292884.906
2 1475 2 0 1292884.906
2 1476 2 0 1292884.907
2 1480 2 0 1292884.987
2 1481 2 0 1292884.989
